================ Training Loss (Wed Sep 29 14:38:01 2021) ================
================ Training Loss (Wed Oct  6 10:07:52 2021) ================
================ Training Loss (Wed Oct  6 10:13:19 2021) ================
   Avg Run Time (ms/batch): 29.736 tp: 0.377 max tp: 0.377
   Avg Run Time (ms/batch): 40.079 tp: 0.510 max tp: 0.510
   Avg Run Time (ms/batch): 38.225 tp: 0.477 max tp: 0.510
   Avg Run Time (ms/batch): 32.989 tp: 0.427 max tp: 0.510
   Avg Run Time (ms/batch): 31.836 tp: 0.418 max tp: 0.510
   Avg Run Time (ms/batch): 33.362 tp: 0.437 max tp: 0.510
   Avg Run Time (ms/batch): 35.763 tp: 0.378 max tp: 0.510
   Avg Run Time (ms/batch): 31.246 tp: 0.482 max tp: 0.510
   Avg Run Time (ms/batch): 30.574 tp: 0.436 max tp: 0.510
   Avg Run Time (ms/batch): 37.403 tp: 0.423 max tp: 0.510
   Avg Run Time (ms/batch): 33.167 tp: 0.382 max tp: 0.510
   Avg Run Time (ms/batch): 39.163 tp: 0.405 max tp: 0.510
   Avg Run Time (ms/batch): 36.745 tp: 0.442 max tp: 0.510
   Avg Run Time (ms/batch): 38.577 tp: 0.408 max tp: 0.510
   Avg Run Time (ms/batch): 33.593 tp: 0.374 max tp: 0.510
   Avg Run Time (ms/batch): 33.466 tp: 0.365 max tp: 0.510
   Avg Run Time (ms/batch): 32.588 tp: 0.447 max tp: 0.510
   Avg Run Time (ms/batch): 38.005 tp: 0.364 max tp: 0.510
================ Training Loss (Wed Oct  6 11:22:20 2021) ================
   Avg Run Time (ms/batch): 38.804 tp: 0.409 max tp: 0.409
   Avg Run Time (ms/batch): 41.131 tp: 0.400 max tp: 0.409
   Avg Run Time (ms/batch): 33.327 tp: 0.405 max tp: 0.409
   Avg Run Time (ms/batch): 38.387 tp: 0.474 max tp: 0.474
   Avg Run Time (ms/batch): 31.176 tp: 0.421 max tp: 0.474
   Avg Run Time (ms/batch): 27.206 tp: 0.373 max tp: 0.474
   Avg Run Time (ms/batch): 36.225 tp: 0.485 max tp: 0.485
   Avg Run Time (ms/batch): 36.937 tp: 0.462 max tp: 0.485
   Avg Run Time (ms/batch): 34.778 tp: 0.473 max tp: 0.485
   Avg Run Time (ms/batch): 30.803 tp: 0.392 max tp: 0.485
   Avg Run Time (ms/batch): 36.977 tp: 0.444 max tp: 0.485
   Avg Run Time (ms/batch): 38.029 tp: 0.446 max tp: 0.485
   Avg Run Time (ms/batch): 37.228 tp: 0.387 max tp: 0.485
   Avg Run Time (ms/batch): 40.290 tp: 0.428 max tp: 0.485
   Avg Run Time (ms/batch): 34.766 tp: 0.471 max tp: 0.485
   Avg Run Time (ms/batch): 41.537 tp: 0.408 max tp: 0.485
   Avg Run Time (ms/batch): 30.836 tp: 0.425 max tp: 0.485
   Avg Run Time (ms/batch): 40.151 tp: 0.402 max tp: 0.485
   Avg Run Time (ms/batch): 30.692 tp: 0.492 max tp: 0.492
   Avg Run Time (ms/batch): 37.647 tp: 0.470 max tp: 0.492
   Avg Run Time (ms/batch): 28.279 tp: 0.415 max tp: 0.492
   Avg Run Time (ms/batch): 32.496 tp: 0.436 max tp: 0.492
   Avg Run Time (ms/batch): 29.585 tp: 0.457 max tp: 0.492
   Avg Run Time (ms/batch): 31.553 tp: 0.460 max tp: 0.492
   Avg Run Time (ms/batch): 36.506 tp: 0.431 max tp: 0.492
   Avg Run Time (ms/batch): 37.124 tp: 0.455 max tp: 0.492
   Avg Run Time (ms/batch): 29.595 tp: 0.426 max tp: 0.492
   Avg Run Time (ms/batch): 36.059 tp: 0.436 max tp: 0.492
   Avg Run Time (ms/batch): 38.778 tp: 0.445 max tp: 0.492
   Avg Run Time (ms/batch): 35.769 tp: 0.365 max tp: 0.492
   Avg Run Time (ms/batch): 36.948 tp: 0.467 max tp: 0.492
   Avg Run Time (ms/batch): 34.704 tp: 0.432 max tp: 0.492
   Avg Run Time (ms/batch): 38.798 tp: 0.447 max tp: 0.492
   Avg Run Time (ms/batch): 31.987 tp: 0.432 max tp: 0.492
   Avg Run Time (ms/batch): 37.290 tp: 0.455 max tp: 0.492
   Avg Run Time (ms/batch): 35.957 tp: 0.345 max tp: 0.492
   Avg Run Time (ms/batch): 35.677 tp: 0.373 max tp: 0.492
   Avg Run Time (ms/batch): 35.290 tp: 0.459 max tp: 0.492
   Avg Run Time (ms/batch): 33.822 tp: 0.459 max tp: 0.492
   Avg Run Time (ms/batch): 35.146 tp: 0.327 max tp: 0.492
   Avg Run Time (ms/batch): 34.259 tp: 0.410 max tp: 0.492
   Avg Run Time (ms/batch): 31.048 tp: 0.343 max tp: 0.492
   Avg Run Time (ms/batch): 35.369 tp: 0.347 max tp: 0.492
   Avg Run Time (ms/batch): 30.649 tp: 0.354 max tp: 0.492
   Avg Run Time (ms/batch): 33.638 tp: 0.345 max tp: 0.492
   Avg Run Time (ms/batch): 36.377 tp: 0.325 max tp: 0.492
   Avg Run Time (ms/batch): 34.794 tp: 0.390 max tp: 0.492
   Avg Run Time (ms/batch): 29.436 tp: 0.508 max tp: 0.508
   Avg Run Time (ms/batch): 36.462 tp: 0.454 max tp: 0.508
   Avg Run Time (ms/batch): 37.920 tp: 0.319 max tp: 0.508
   Avg Run Time (ms/batch): 32.263 tp: 0.464 max tp: 0.508
   Avg Run Time (ms/batch): 33.986 tp: 0.470 max tp: 0.508
   Avg Run Time (ms/batch): 34.534 tp: 0.530 max tp: 0.530
   Avg Run Time (ms/batch): 33.614 tp: 0.488 max tp: 0.530
   Avg Run Time (ms/batch): 36.503 tp: 0.511 max tp: 0.530
   Avg Run Time (ms/batch): 37.566 tp: 0.510 max tp: 0.530
   Avg Run Time (ms/batch): 33.528 tp: 0.502 max tp: 0.530
   Avg Run Time (ms/batch): 37.473 tp: 0.447 max tp: 0.530
   Avg Run Time (ms/batch): 30.058 tp: 0.386 max tp: 0.530
   Avg Run Time (ms/batch): 33.337 tp: 0.437 max tp: 0.530
   Avg Run Time (ms/batch): 39.918 tp: 0.468 max tp: 0.530
   Avg Run Time (ms/batch): 35.824 tp: 0.472 max tp: 0.530
   Avg Run Time (ms/batch): 35.840 tp: 0.388 max tp: 0.530
   Avg Run Time (ms/batch): 33.786 tp: 0.418 max tp: 0.530
   Avg Run Time (ms/batch): 37.473 tp: 0.429 max tp: 0.530
   Avg Run Time (ms/batch): 31.270 tp: 0.478 max tp: 0.530
   Avg Run Time (ms/batch): 29.965 tp: 0.449 max tp: 0.530
   Avg Run Time (ms/batch): 35.498 tp: 0.497 max tp: 0.530
   Avg Run Time (ms/batch): 34.210 tp: 0.419 max tp: 0.530
   Avg Run Time (ms/batch): 33.623 tp: 0.368 max tp: 0.530
   Avg Run Time (ms/batch): 31.908 tp: 0.472 max tp: 0.530
   Avg Run Time (ms/batch): 36.150 tp: 0.317 max tp: 0.530
   Avg Run Time (ms/batch): 41.017 tp: 0.448 max tp: 0.530
   Avg Run Time (ms/batch): 37.016 tp: 0.479 max tp: 0.530
   Avg Run Time (ms/batch): 34.007 tp: 0.482 max tp: 0.530
   Avg Run Time (ms/batch): 38.029 tp: 0.441 max tp: 0.530
   Avg Run Time (ms/batch): 39.124 tp: 0.444 max tp: 0.530
   Avg Run Time (ms/batch): 35.726 tp: 0.437 max tp: 0.530
   Avg Run Time (ms/batch): 41.292 tp: 0.480 max tp: 0.530
   Avg Run Time (ms/batch): 33.780 tp: 0.419 max tp: 0.530
   Avg Run Time (ms/batch): 34.834 tp: 0.401 max tp: 0.530
   Avg Run Time (ms/batch): 36.309 tp: 0.466 max tp: 0.530
   Avg Run Time (ms/batch): 32.597 tp: 0.400 max tp: 0.530
   Avg Run Time (ms/batch): 32.208 tp: 0.459 max tp: 0.530
   Avg Run Time (ms/batch): 32.115 tp: 0.550 max tp: 0.550
   Avg Run Time (ms/batch): 36.910 tp: 0.310 max tp: 0.550
   Avg Run Time (ms/batch): 37.751 tp: 0.454 max tp: 0.550
   Avg Run Time (ms/batch): 31.101 tp: 0.378 max tp: 0.550
   Avg Run Time (ms/batch): 33.240 tp: 0.473 max tp: 0.550
   Avg Run Time (ms/batch): 29.197 tp: 0.487 max tp: 0.550
   Avg Run Time (ms/batch): 29.775 tp: 0.423 max tp: 0.550
   Avg Run Time (ms/batch): 28.807 tp: 0.430 max tp: 0.550
   Avg Run Time (ms/batch): 32.522 tp: 0.449 max tp: 0.550
   Avg Run Time (ms/batch): 36.912 tp: 0.501 max tp: 0.550
   Avg Run Time (ms/batch): 40.350 tp: 0.424 max tp: 0.550
   Avg Run Time (ms/batch): 27.696 tp: 0.341 max tp: 0.550
   Avg Run Time (ms/batch): 37.415 tp: 0.492 max tp: 0.550
   Avg Run Time (ms/batch): 36.909 tp: 0.617 max tp: 0.617
   Avg Run Time (ms/batch): 30.210 tp: 0.464 max tp: 0.617
   Avg Run Time (ms/batch): 35.438 tp: 0.495 max tp: 0.617
================ Training Loss (Thu Oct  7 04:57:47 2021) ================
   Avg Run Time (ms/batch): 40.885 auc: 0.446 max auc: 0.446
   Avg Run Time (ms/batch): 35.533 auc: 0.556 max auc: 0.556
